item,style,condition,question,respond,video,bitalino,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Trialsloop.thisRepN,Trialsloop.thisTrialN,Trialsloop.thisN,Trialsloop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,IDRESPONSE.text,sensor2.started,sensor2.stopped,sensor3.started,sensor3.stopped,sensor.started,sensor.stopped,sensor4.started,sensor4.stopped,textsubjresp.started,textsubjresp.stopped,SubjectiveResponse.response,SubjectiveResponse.rt,SubjectiveResponse.started,SubjectiveResponse.stopped,textsubjcon.started,textsubjcon.stopped,sensor5.started,sensor5.stopped,sensor1.started,sensor1.stopped,sensor6.started,sensor6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
26,Direct,LIE,How often do you smoke?,,video/V34.mp4,,,,,,,,,,0,26,26,26,,,,,,497.07708518067375,497.59376431582496,498.49376521399245,498.9935316699557,501.9432889511809,502.47675533173606,504.1093302681111,504.6093482328579,506.24284547474235,None,0.030555555555555558,2.2655467041768134,506.24284547474235,None,506.24284547474235,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
23,Indirect,LIE,Are you studying Business course in NTU?,,video/V21.mp4,,,,,,,,,,0,27,27,27,,,,,,509.1424889997579,509.64258074900135,514.0255554043688,514.5421084640548,517.0754513363354,517.6084044338204,519.9749463298358,520.4749383097515,521.9410799089819,None,0.030555555555555558,2.435445985291153,521.9410799089819,None,521.9410799089819,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
24,Indirect,TRUTH,Is your mum 48 years old this year?,,video/V39.mp4,,,,,,,,,,0,28,28,28,,,,,,525.0075956275687,525.5243687578477,526.890612307936,527.3905827943236,530.1238940353505,530.6570100998506,532.8567664190196,533.3570256265812,535.3567696269602,None,0.9648148148148148,2.135883366689086,535.3567696269602,None,535.3567696269602,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
18,Direct,TRUTH,What was the last country you visited?,,video/V22.mp4,,,,,,,,,,0,29,29,29,,,,,,538.1732205436565,538.706488668453,541.2894368255511,541.7894798130728,544.7224806458689,545.2558036278933,547.2553067058325,547.7554979035631,549.655138220638,None,0.9703703703703703,5.049191771540791,549.655138220638,None,549.655138220638,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
18,Indirect,LIE,Was the last country you visited Australia?,,video/V2.mp4,,,,,,,,,,0,30,30,30,,,,,,555.3378779208288,555.8377393339761,558.554389083758,559.0542238708586,561.8872297722846,562.4204873107374,564.6534315543249,565.1538627119735,566.6536079952493,None,0.03888888888888886,3.949625752400607,566.6536079952493,None,566.6536079952493,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
17,Indirect,LIE,Did you not celebrate your 21st birthday?,,video/V18.mp4,,,,,,,,,,0,31,31,31,,,,,,571.169839290902,571.7029957766645,574.0028410218656,574.5193626433611,577.2858236334287,577.8188922195695,580.1522109028883,580.6520585217513,581.7187811578624,None,0.03888888888888886,1.6479994151741266,581.7187811578624,None,581.7187811578624,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
1,Indirect,TRUTH,Are you from Woodlands Primary School?,,video/V38.mp4,,,,,,,,,,0,32,32,32,,,,,,583.9686425714754,584.5017063454725,586.0350880343467,586.5349276331253,589.0177146838978,589.551014568191,591.5176627137698,592.0176797164604,593.8837830759585,None,0.03888888888888886,1.5841553346253932,593.8837830759585,None,593.8837830759585,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
19,Direct,LIE,Which MRT station is closest to your house?,,video/V24.mp4,,,,,,,,,,0,33,33,33,,,,,,596.6340284897014,597.1504420009442,598.1171209434979,598.616986848414,601.1498568579555,601.683454125654,603.5497740269639,604.0497406637296,605.8995386227034,None,0.02870370370370373,2.2996351197361946,605.8995386227034,None,605.8995386227034,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
19,Direct,TRUTH,Which MRT station is closest to your house?,,video/V17.mp4,,,,,,,,,,0,34,34,34,,,,,,613.015692668967,613.5489739468321,614.981924734544,615.4821951705962,618.6983714168891,619.2317409152165,621.3148693628609,621.8146698242053,623.8142207013443,None,0.02870370370370373,2.250716671347618,623.8142207013443,None,623.8142207013443,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
3,Direct,LIE,Who is your closest friend back in secondary school?,,video/V36.mp4,,,,,,,,,,0,35,35,35,,,,,,627.0642611226067,627.564059979748,628.5302182608284,629.0306526264176,631.6968251513317,632.2301920833997,634.7635064036585,635.2633213009685,636.5465544583276,None,0.02870370370370373,2.066879187244922,636.5465544583276,None,636.5465544583276,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
30,Direct,LIE,What brand of laptop do you mainly use?,,video/V4.mp4,,,,,,,,,,0,36,36,36,,,,,,639.2292543789372,639.7463900153525,642.3626406234689,642.8790098638274,645.9954372337088,646.5290726767853,648.2285373867489,648.7284571863711,650.3451367062517,None,0.041666666666666685,1.7643485092557967,650.3451367062517,None,650.3451367062517,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
15,Indirect,TRUTH,Are you from Ngee Ann Polytechnic?,,video/V37.mp4,,,,,,,,,,0,37,37,37,,,,,,652.6616354226135,653.1951345247217,654.0110564390197,654.5109804091044,657.3947503324598,657.9276421568356,659.76080396818,660.2607876071706,661.4606863618828,None,0.987037037037037,3.933443860616535,661.4606863618828,None,661.4606863618828,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
17,Indirect,TRUTH,Did you celebrate your 21st birthday at NTU?,,video/V23.mp4,,,,,,,,,,0,38,38,38,,,,,,665.8437675237656,666.34355419036,671.4926995099522,671.993080301676,674.8093599099666,675.342919964809,678.6424363879487,679.158899623435,680.8256662734784,None,0.987037037037037,1.748532010242343,680.8256662734784,None,680.8256662734784,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
24,Indirect,LIE,Is your mum 56 years old this year?,,video/V9.mp4,,,,,,,,,,0,39,39,39,,,,,,683.1419731499627,683.6752932448871,685.5252121463418,686.0250568781048,688.7908595823683,689.3246964891441,691.5244656400755,692.0244130287319,693.6575939594768,None,0.987037037037037,2.0997248156927526,693.6575939594768,None,693.6575939594768,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
29,Direct,TRUTH,What brand of handphone do you use?,,,bit/B16.mp4,,,,,,,,,,,,,0,0,0,0,,763.1341292215511,763.6501680361107,,,,,,,772.2328746290877,None,0.987037037037037,2.8166164504364133,772.2328746290877,None,772.2328746290877,None,765.0000692931935,765.5000994484872,767.5832003070973,768.100136404857,770.1332146152854,770.6332373921759,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
23,Direct,LIE,What course are you studying?,,,bit/B36.mp4,,,,,,,,,,,,,0,1,1,1,,775.5160724986345,776.0491888839751,,,,,,,802.9297761316411,None,0,2.7674564383924007,802.9297761316411,None,802.9297761316411,None,792.2975069195963,792.7975617768243,794.3639478911646,794.8807162092999,800.7967058769427,801.2969365338795,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
26,Indirect,TRUTH,Do you not smoke at all? ,,,bit/B20.mp4,,,,,,,,,,,,,0,2,2,2,,806.396279274486,806.8959308839403,,,,,,,825.9106852072291,None,0.9805555555555556,6.351577126421034,825.9106852072291,None,825.9106852072291,None,812.1624018182047,812.6622064500116,814.5453992509283,815.078733140137,823.4111667308025,823.9110108213499,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
17,Direct,TRUTH,Where did you celebrate your 21st birthday?,,,bit/B8.mp4,,,,,,,,,,,,,0,3,3,3,,833.1936572319828,833.7101503019221,,,,,,,848.4256663373671,None,0.9796296296296296,2.216609007678926,848.4256663373671,None,848.4256663373671,None,834.843374541495,835.3433815990575,837.0429890658706,837.5600092131644,845.9088652976789,846.4257638612762,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
