item,style,condition,question,respond,video,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Trialsloop.thisRepN,Trialsloop.thisTrialN,Trialsloop.thisN,Trialsloop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,IDRESPONSE.text,sensor2.started,sensor2.stopped,sensor3.started,sensor3.stopped,sensor.started,sensor.stopped,sensor4.started,sensor4.stopped,textsubjresp.started,textsubjresp.stopped,SubjectiveResponse.response,SubjectiveResponse.rt,SubjectiveResponse.started,SubjectiveResponse.stopped,textsubjcon.started,textsubjcon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
18,Direct,TRUTH,What was the last country you visited?,,video/V22.mp4,,,,,,,,,0,29,29,29,,794.538155221846,795.0380747006275,806.2369263581932,806.7538720797747,810.0029395082965,810.5363908112049,812.6694559329189,813.1693234415725,814.2026230050251,None,0.9722222222222222,2.4856126736849546,814.2026230050251,None,814.2026230050251,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
18,Indirect,LIE,Was the last country you visited Australia?,,video/V2.mp4,,,,,,,,,0,30,30,30,,817.3689928231761,817.86894181557,835.017511616461,835.5172848091461,838.2171075344086,838.750806175638,841.0838932399638,841.5835778913461,842.700129411649,None,0.9787037037037036,3.449689270928502,842.700129411649,None,842.700129411649,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
17,Indirect,LIE,Did you not celebrate your 21st birthday?,,video/V18.mp4,,,,,,,,,0,31,31,31,,846.9492571512237,847.4831742583774,856.9653864316642,857.4652674142271,860.4650332289748,860.998107268475,863.6645778184757,864.1646747007035,865.9644086272456,None,0.0,4.016310213133693,865.9644086272456,None,865.9644086272456,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
1,Indirect,TRUTH,Are you from Woodlands Primary School?,,video/V38.mp4,,,,,,,,,0,32,32,32,,870.9307933948003,871.4305142969824,877.1135353404097,877.6133871297352,880.2464410234243,880.7798332986422,882.6794688035734,883.1792737557553,884.6628621695563,None,0.9953703703703703,5.299665275029838,884.6628621695563,None,884.6628621695563,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
19,Direct,LIE,Which MRT station is closest to your house?,,video/V24.mp4,,,,,,,,,0,33,33,33,,890.7785587524995,891.3121451130137,896.5448269401677,897.0446206647903,899.5611121305265,900.0944091277197,902.5943237943575,903.0937328771688,904.5601445920765,None,0.016666666666666663,3.0847289287485182,904.5601445920765,None,904.5601445920765,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
19,Direct,TRUTH,Which MRT station is closest to your house?,,video/V17.mp4,,,,,,,,,0,34,34,34,,908.3099466571584,908.809822506737,911.2762133693323,911.7761293193325,914.4925837004557,915.025910532102,917.9088688269258,918.4089275333099,919.8253704942763,None,0.9833333333333334,4.319199226796627,919.8253704942763,None,919.8253704942763,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
3,Direct,LIE,Who is your closest friend back in secondary school?,,video/V36.mp4,,,,,,,,,0,35,35,35,,924.8585407747887,925.3750322405249,928.1415602783673,928.641679616645,931.4244957314804,931.9577917661518,934.2573572723195,934.7573425150476,935.9572983728722,None,0.018518518518518545,3.4003480058163404,935.9572983728722,None,935.9572983728722,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
30,Direct,LIE,What brand of laptop do you mainly use?,,video/V4.mp4,,,,,,,,,0,36,36,36,,940.3239926500246,940.8235781737603,943.9066328369081,944.4065609774552,946.8897073259577,947.4230912607163,949.2896543294191,949.789350209292,951.4725634129718,None,0.032407407407407385,2.8331008590757847,951.4725634129718,None,951.4725634129718,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
15,Indirect,TRUTH,Are you from Ngee Ann Polytechnic?,,video/V37.mp4,,,,,,,,,0,37,37,37,,955.0722750760615,955.6055470509455,957.7885944000445,958.2885090666823,961.0381866605021,961.5717826453038,963.5377147607505,964.037806189619,965.4876356511377,None,0.9787037037037036,2.5854273145087063,965.4876356511377,None,965.4876356511377,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
,,,,,,,,,,,,,,,,,,,968.7374386787415,969.270768718794,971.4368190178648,971.9372399100102,974.870197434444,975.4030706523918,977.8698814446107,978.3698201715015,,,,,,,,,,,,,,,
