Item,pic,correct,part,partimg,parta.thisRepN,parta.thisTrialN,parta.thisN,parta.thisIndex,trialsA.thisRepN,trialsA.thisTrialN,trialsA.thisN,trialsA.thisIndex,partb.thisRepN,partb.thisTrialN,partb.thisN,partb.thisIndex,trialB.thisRepN,trialB.thisTrialN,trialB.thisN,trialB.thisIndex,partc.thisRepN,partc.thisTrialN,partc.thisN,partc.thisIndex,trialC.thisRepN,trialC.thisTrialN,trialC.thisN,trialC.thisIndex,textboxsubjectid.text,image_2.started,image_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
68,images/73,a,None,None,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,69.50099800000316,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.4951445829938166,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
69,images/74,c,None,None,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,70.00288870799704,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.10872187500353903,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
70,images/75,d,None,None,,,,,,,,,,,,,,,,,,,,,0,13,13,13,,70.11910112500482,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.44287774999975227,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
71,images/76,b,None,None,,,,,,,,,,,,,,,,,,,,,0,14,14,14,,70.56961233299808,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.2087485829979414,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
72,images/77,a,None,None,,,,,,,,,,,,,,,,,,,,,0,15,15,15,,70.7855767919973,None,-0.2822222222222222,-0.01888888888888889,1,0,0,0.8758662499894854,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
73,images/78,b,None,None,,,,,,,,,,,,,,,,,,,,,0,16,16,16,,71.66978620800364,None,-0.2822222222222222,-0.01888888888888889,1,0,0,0.1756530419952469,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
74,images/79,a,None,None,,,,,,,,,,,,,,,,,,,,,0,17,17,17,,71.8519557499967,None,-0.2833333333333333,-0.01888888888888889,1,0,0,3.310978041990893,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
75,images/80,b,None,None,,,,,,,,,,,,,,,,,,,,,0,18,18,18,,75.17126075000851,None,-0.2833333333333333,-0.01888888888888889,1,0,0,0.2072876250022091,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
76,images/81,a,None,None,,,,,,,,,,,,,,,,,,,,,0,19,19,19,,75.38643845800834,None,-0.2833333333333333,-0.01888888888888889,1,0,0,0.17510983400279656,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
77,images/82,d,None,None,,,,,,,,,,,,,,,,,,,,,0,20,20,20,,75.56839258300897,None,-0.2833333333333333,-0.01888888888888889,1,0,0,0.14304658400942571,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
78,images/83,d,None,None,,,,,,,,,,,,,,,,,,,,,0,21,21,21,,75.71745716700389,None,-0.2833333333333333,-0.01888888888888889,1,0,0,0.11048370800563134,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
79,images/84,b,None,None,,,,,,,,,,,,,,,,,,,,,0,22,22,22,,75.83400358300423,None,-0.2833333333333333,-0.01888888888888889,1,0,0,0.12732204100757372,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
80,images/85,c,None,None,,,,,,,,,,,,,,,,,,,,,0,23,23,23,,75.9674362079968,None,-0.2833333333333333,-0.01888888888888889,1,0,0,0.11004870900069363,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
81,images/86,a,None,None,,,,,,,,,,,,,,,,,,,,,0,24,24,24,,76.08389541700308,None,-0.2833333333333333,-0.01888888888888889,1,0,0,0.34452108400000725,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
82,images/87,d,None,None,,,,,,,,,,,,,,,,,,,,,0,25,25,25,,76.43406987500202,None,-0.2833333333333333,-0.01888888888888889,1,0,0,0.2269504580035573,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
83,images/88,d,None,None,,,,,,,,,,,,,,,,,,,,,0,26,26,26,,76.6671447080007,None,-0.2833333333333333,-0.01888888888888889,1,0,0,0.16070037499594036,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
